Адрес$Категория охраны
Дивенская ул., 10$Выявленный объект культурного наследия
Мира ул., 18$Выявленный объект культурного наследия
Мира ул., 21$Выявленный объект культурного наследия
Дивенская ул., 14$Выявленный объект культурного наследия
Малая Монетная ул., 5$Выявленный объект культурного наследия
Мичуринская ул., 1, лит. А$Выявленный объект культурного наследия
Петровская наб., 8$Выявленный объект культурного наследия
Мичуринская ул., 19$Выявленный объект культурного наследия
Мичуринская ул., 21$Выявленный объект культурного наследия
Малая Посадская ул., 11$Выявленный объект культурного наследия
Морской пр., 23$Выявленный объект культурного наследия
Морской пр., 25$Выявленный объект культурного наследия
Мытнинская наб., 3$Выявленный объект культурного наследия
Нестерова пер., 9$Выявленный объект культурного наследия
Новоладожская ул., 4$Выявленный объект культурного наследия
Ольгина ул., 2$Выявленный объект культурного наследия
Ординарная ул., 4$Выявленный объект культурного наследия
Песочная наб., 22$Выявленный объект культурного наследия
Даля ул., 2$Выявленный объект культурного наследия
Песочная наб., 24$Выявленный объект культурного наследия
Даля ул., 2$Выявленный объект культурного наследия
Петровская коса, 3/6$Выявленный объект культурного наследия
Петровская коса, 9, лит. Б$Выявленный объект культурного наследия
Петровский пр., 20$Выявленный объект культурного наследия
Петровский пр., 20, лит. Я$Выявленный объект культурного наследия
Петровский пр., 9, лит. А$Выявленный объект культурного наследия
Петроградская наб., 24$Выявленный объект культурного наследия
Пинский пер., 2$Выявленный объект культурного наследия
Петроградская наб., 26$Выявленный объект культурного наследия
Пинский пер., 1$Выявленный объект культурного наследия
Петроградская наб., 34$Выявленный объект культурного наследия
Петроградская наб., 34$Выявленный объект культурного наследия
Петроградская наб., 34$Выявленный объект культурного наследия
Петроградская наб., 40$Выявленный объект культурного наследия
Казарменный пер., 2$Выявленный объект культурного наследия
Чапаева ул., 25$Выявленный объект культурного наследия
Петрозаводская ул., 7$Выявленный объект культурного наследия
Пионерская ул., 22$Выявленный объект культурного наследия
Пионерская ул., 57$Выявленный объект культурного наследия
Пионерская ул., 7$Выявленный объект культурного наследия
Пионерская ул., 8$Выявленный объект культурного наследия
Плуталова ул., 24$Выявленный объект культурного наследия
Подковырова ул., 43$Выявленный объект культурного наследия
Подрезова ул., 26б$Выявленный объект культурного наследия
Профессора Попова ул., 28$Выявленный объект культурного наследия
Профессора Попова ул., 37, лит. А$Выявленный объект культурного наследия
Профессора Попова ул., 37б, лит. А$Выявленный объект культурного наследия
Профессора Попова ул., 39$Выявленный объект культурного наследия
